source,title,authors,DOI,issue year,type,number of citations,link
scopus,Benchmarking Quantum Annealing Controls with Portfolio Optimization,Grant E.; Humble T.S.; Stump B.,10.1103/PhysRevApplied.15.014012,2021,Article,37,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100007764&doi=10.1103%2fPhysRevApplied.15.014012&partnerID=40&md5=52b30ea2321b18ee563bc9a92eaefc73
scopus,Backtesting Quantum Computing Algorithms for Portfolio Optimization,Carrascal G.; Hernamperez P.; Botella G.; Barrio A.D.,10.1109/TQE.2023.3337328,2024,Article,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179037821&doi=10.1109%2fTQE.2023.3337328&partnerID=40&md5=cb111d79a9ed1e6c6ccd5090f79fc71b
scopus,Portfolio Optimization Based on Quantum HHL Algorithm,Li Q.; Wu H.; Qian W.; Li X.; Zhu Q.; Yang S.,10.1007/978-3-031-06788-4_8,2022,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135047041&doi=10.1007%2f978-3-031-06788-4_8&partnerID=40&md5=baa171aa3e6c8c9afbb69471574c82a9
scopus,Portfolio optimization in both long and short selling trading using trend ratios and quantum-inspired evolutionary algorithms,Chou Y.-H.; Jiang Y.-C.; Kuo S.-Y.,10.1109/ACCESS.2021.3126652,2021,Article,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120325031&doi=10.1109%2fACCESS.2021.3126652&partnerID=40&md5=65f5613dade2767b887338ae05b8d515
scopus,Dynamic Portfolio Optimization via Augmented DDPG with Quantum Price Levels-Based Trading Strategy,Lin R.; Xing Z.; Ma M.; Lee R.S.T.,10.1109/IJCNN54540.2023.10191785,2023,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169606145&doi=10.1109%2fIJCNN54540.2023.10191785&partnerID=40&md5=cd70011be23a8d972da0e5da141ab663
scopus,Quantum beetle antennae search: a novel technique for the constrained portfolio optimization problem,Khan A.T.; Cao X.; Li S.; Hu B.; Katsikis V.N.,10.1007/s11432-020-2894-9,2021,Article,53,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091135218&doi=10.1007%2fs11432-020-2894-9&partnerID=40&md5=bee84f3248af0c50f840eaf92642db4f
scopus,Portfolio Optimization Using Quantum-Inspired Modified Genetic Algorithm,Gunjan A.; Bhattacharyya S.; Hassanien A.E.,10.1007/978-981-99-3416-4_53,2023,Conference paper,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168774985&doi=10.1007%2f978-981-99-3416-4_53&partnerID=40&md5=3a1dce98bdbba874262170dba4471342
scopus,Portfolio optimization Decision-Making System by Quantum-inspired Metaheuristics and Trend Ratio,Lai Y.-T.; Chang M.-H.; Tong Y.F.; Jiang Y.-C.; Chou Y.-H.; Kuo S.-Y.,10.1109/SMC53654.2022.9945589,2022,Conference paper,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142731588&doi=10.1109%2fSMC53654.2022.9945589&partnerID=40&md5=13c1475d849a402cb9d362d99f6f2f14
scopus,Using Quantum-Behaved Particle Swarm Optimization for portfolio selection problem,Farzi S.; Shavazi A.R.; Pandari A.R.,,2013,Article,13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862690373&partnerID=40&md5=9f997f7db7fdeed6d062facf25390e45
scopus,"Antieigenvalue analysis: With applications to numerical analysis, wavelets, statistics, quantum mechanics, finance and optimization",Gustafson K.,10.1142/8247,2011,Book,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995484453&doi=10.1142%2f8247&partnerID=40&md5=a9c37b1f89fcc69649b711b281923f9f
