"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Sophisticated Optimization Algorithm for Obtaining a Group Trading Strategy Portfolio and Its Stop-Loss and Take-Profit Points","C. -H. Chen; Y. -H. Chen; M. -E. Wu; T. -P. Hong","Department of Computer Science and Information Engineering, Tamkang University, Taipei, Taiwan; Department of Computer Science and Information Engineering, Tamkang University, Taipei, Taiwan; Department of Information and Finance Management, National Taipei University of Technology, Taipei, Taiwan; Computer Science and Engineering, Kaohsiung, Taiwan","2018 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","17 Jan 2019","2018","","","3417","3420","Due to the variety of financial markers, to determine an appropriate timing for buying or selling stocks is always a difficult task, the common way to handle it is using trading strategies formed by technical or fundamental indicators. To deal with the problem, an approach was proposed for optimizing a group trading strategy portfolio in the previous approach. To avoid unpredictable loss, the stop-loss and take-profit points are commonly used by investors to handle it. However, they are not easy determined by users when different trading strategies are employed. In this paper, attempting to provide a more useful group trading strategy portfolio, we propose an algorithm for obtaining a group trading strategy portfolio and its stop-loss and take-profit points using the grouping genetic algorithm. Experiments were conducted on a real dataset to reveal the effectiveness of the proposed approach.","2577-1655","978-1-5386-6650-0","10.1109/SMC.2018.00579","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8616576","Group trading strategy portfolio;grouping genetic algorithm;portfolio optimization;stop-loss and take-profit points;trading strategy","Portfolios;Biological cells;Optimization;Sociology;Statistics;Task analysis;Genetic algorithms","","2","","14","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"Lasso-based simulation for high-dimensional multi-period portfolio optimization","Z. Li; K. H. Tsang; H. Y. Wong","Department of Statistics, The Chinese University of Hong Kong, Hong Kong; Department of Statistics, The Chinese University of Hong Kong, Hong Kong; Department of Statistics, The Chinese University of Hong Kong, Hong Kong, hywong@cuhk.edu.hk","IMA Journal of Management Mathematics","9 Nov 2020","2019","31","1","257","280","This paper proposes a regression-based simulation algorithm for multi-period mean-variance portfolio optimization problems with constraints under a high-dimensional setting. For a high-dimensional portfolio, the least squares Monte Carlo algorithm for portfolio optimization can perform less satisfactorily with finite sample paths due to the estimation error from the ordinary least squares (OLS) in the regression steps. Our algorithm, which resolves this problem e, that demonstrates significant improvements in numerical performance for the case of finite sample path and high dimensionality. Specifically, we replace the OLS by the least absolute shrinkage and selection operator (lasso). Our major contribution is the proof of the asymptotic convergence of the novel lasso-based simulation in a recursive regression setting. Numerical experiments suggest that our algorithm achieves good stability in both low- and higher-dimensional cases.","1471-6798","","10.1093/imaman/dpz013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251107","lasso;high-dimensional regression;portfolio optimization;mean-variance;Monte Carlo simulation","","","","","","","9 Nov 2020","","","OUP","OUP Journals"
"On Portfolio Investment Model Using Ant Colony Optimization Algorithm","Z. Jianguo; Z. Hui; T. Jiming","School of Business and Administration, North China Electric Power University, Baoding, China; School of Business and Administration, North China Electric Power University, Baoding, China; School of Business and Administration, North China Electric Power University, Baoding, China","2007 Chinese Control Conference","15 Oct 2007","2007","","","494","497","Based on Markowitz' theory of asset portfolio, a multiple-goal optimization model of portfolio investment was set up considering both risk and return. Then applying ant colony optimization algorithm to solve the model, we got a better result than that of using Lingo.","1934-1768","978-7-81124-055-9","10.1109/CHICC.2006.4347390","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4347390","Portfolio investment;Multi-objective programming;Ant colony algorithm;Lingo","Portfolios;Investments;Ant colony optimization;Electronic mail","","","","10","IEEE","15 Oct 2007","","","IEEE","IEEE Conferences"
"Implementation of e-New Local Search based Multiobjective Optimization Algorithm and Multiobjective Co-variance based Artificial Bee Colony Algorithm in Stocks Portfolio Optimization Problem","R. Ramadhiani; M. Yan; G. F. Hertono; B. D. Handari","Department of Mathematics, Faculty of Natural Sciences and Mathematics, Depok, Indonesia; Department of Mathematics, Faculty of Natural Sciences and Mathematics, Depok, Indonesia; Department of Mathematics, Faculty of Natural Sciences and Mathematics, Depok, Indonesia; Department of Mathematics, Faculty of Natural Sciences and Mathematics, Depok, Indonesia","2018 2nd International Conference on Informatics and Computational Sciences (ICICoS)","24 Jan 2019","2018","","","1","6","The problem of portfolio optimization is a research topic that is quite widely discussed in the financial sector. The first model in this problem is the mean-variance model that focuses on expected return and risk without considering the constraints contained in the real problem. In this paper, a portfolio optimization model with real constraints which is commonly known as the Mean-Variance Cardinality Constrained Portfolio Optimization (MVCCPO) model is considered. The e-New Local Search based Multi-objective Optimization Algorithm (e-NSLS) and Multi-objective Covariance based Artificial Bee Colony (M -CABC) algorithm are used to solve portfolio optimization problem on datasets involving up to 225 assets. Obtained results are compared with the unconstrained efficient frontier of the corresponding data sets. The numerical simulations state that e-NSLS algorithm gives a better solution than M-CABC, where the solutions produced by e-NSLS are nearer to the corresponding unconstrained efficient frontier than the solutions generated by M-CABC.","","978-1-5386-7440-6","10.1109/ICICOS.2018.8621646","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8621646","portfolio optimization;unconstrained efficient frontier;artificial bee colony;local search","Portfolios;Mathematical model;Optimization;Matrix decomposition;Investment;Sociology","","3","","10","IEEE","24 Jan 2019","","","IEEE","IEEE Conferences"
"Development of smart trading strategy system based on computer dynamic prediction models and algorithm optimization","Y. Wang; B. Zheng","College of Economics and Management, China Agricultural University, Beijing, China; College of Science, China Agricultural University, Beijing, China","2022 IEEE 2nd International Conference on Data Science and Computer Application (ICDSCA)","29 Dec 2022","2022","","","1301","1305","Balancing the relationship between investment risk and return to formulate trading strategies has become an urgent problem in the capital market. In the study, by analyzing the historical price data of gold and bitcoin from 2016 to 2021, the time series method combined with a simple moving average method was introduced to develop price prediction models of gold and bitcoin in the next trading day, accurate predictions of future price for both financial products were completed. Based on this, by comparing the prices of gold and bitcoin two days before and after, six trading types of their asset portfolios were determined, and an optimal decision-making model was established to provide investors with the best daily trading strategy. Furthermore, the sensitivity under different transaction costs was tested by defining the sensitivity of trading strategies to transaction costs. Research informs investors on how to invest for the best returns.","","978-1-6654-7200-5","10.1109/ICDSCA56264.2022.9988696","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9988696","trading strategies;price prediction models;an optimal decision-making model","Gold;Sensitivity;Costs;Computational modeling;Heuristic algorithms;Decision making;Time series analysis","","","","10","IEEE","29 Dec 2022","","","IEEE","IEEE Conferences"
"On the Use of Simulation-Optimization in Sustainability Aware Project Portfolio Management","M. Saiz; M. A. Lostumbo; A. A. Juan; D. Lopez-Lopez","IN3 – Computer Science Department, Universitat Oberta de Catalunya, Castelldefels, SPAIN; IN3 – Computer Science Department, Universitat Oberta de Catalunya, Castelldefels, SPAIN; Euncet Business School, Universitat Oberta de Catalunya, Castelldefels, SPAIN; General Management & Strategy Department, ESADE Business School, Barcelona, SPAIN","2020 Winter Simulation Conference (WSC)","29 Mar 2021","2020","","","2493","2504","Among other variables, uncertainty and limitation of resources make real-life project portfolio management a complex activity. Simulation-optimization is considered an appropriate technique to face stochastic problems like this one. The main objective of this paper is to develop a hybrid model, which combines optimization with Monte Carlo simulation, to deal with stochastic project portfolio management. A series of computational experiments illustrate how these hybrid approach can include uncertainty into the model, and how this is an essential contribution for informed decision making. A relevant novelty is the inclusion of a sustainability dimension, which allows managers to select and prioritize projects not only based on their monetary profitability but also taking into account the associated environmental and/or social impact. This additional criterion can be necessary when evaluating projects in areas such as civil engineering, building and construction, or urban transformation.","1558-4305","978-1-7281-9499-8","10.1109/WSC48552.2020.9383941","Erasmus; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9383941","","Uncertainty;Computational modeling;Stochastic processes;Stakeholders;Sustainable development;Portfolios;Optimization","","","","20","IEEE","29 Mar 2021","","","IEEE","IEEE Conferences"
"Portfolio Optimization Using Period Value at Risk Based on Historical Simulation Method","R. An; D. Wang; M. Huang; C. Xu","College of Information Science and Engineering˗State Key Laboratory of Synthetical Automation for Process Industries, Northeastern University, Shenyang, Liaoning, China; College of Information Science and Engineering˗State Key Laboratory of Synthetical Automation for Process Industries, Northeastern University, Shenyang, Liaoning, China; College of Information Science and Engineering˗State Key Laboratory of Synthetical Automation for Process Industries, Northeastern University, Shenyang, Liaoning, China; College of Information Science and Engineering˗State Key Laboratory of Synthetical Automation for Process Industries, Northeastern University, Shenyang, Liaoning, China","2019 Chinese Control And Decision Conference (CCDC)","12 Sep 2019","2019","","","324","328","We consider market risk over a period of time that is more applicable in real world investment scenarios. This paper aims at solving technical issues related to the application of period value at risk (PVaR) in investment decision, a recently developed tool for measuring market risk over a period of time. An investment decision model with the objective of minimizing PVaR as the indicator of market risk and the constraint of satisfying investors' expected return is established. We consider portfolio selection problems with PVaR that is calculated applying historical simulation method. The PVaR minimization model becomes a complicated nonlinear programming and we suggested to solve the model by changing it to an equivalent mixed programming model. According to numerical analysis, we conclude that PVaR can provide a more conservative investment strategy for risk aversion investors compared with value at risk (VaR). Finally, we conduct a concise analysis of PVaR that is solved using historical simulation and Monte Carlo simulation.","1948-9447","978-1-7281-0106-4","10.1109/CCDC.2019.8833273","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8833273","Period value at risk;Historical simulation;Value at risk;Monte Carlo simulation;Portfolio selection","Portfolios;Share prices;Investment;Loss measurement;Mathematical model;Numerical models;Reactive power","","","","17","IEEE","12 Sep 2019","","","IEEE","IEEE Conferences"
"Portfolio optimization based on a computer simulation of securities rates of return from the bivariate normal distribution","D. Dukic; G. Dukic; M. Sesar","ABACUS Tuition, Osijek, Croatia; ABACUS Tuition, Osijek, Croatia; Faculty of Agriculture, University of Josip Juraj Strossmayer in Osijek, Osijek, Croatia","ITI 2008 - 30th International Conference on Information Technology Interfaces","5 Aug 2008","2008","","","197","202","The basic aim of all investors investing in securities is to achieve maximum yield while keeping their loss risks at a minimum. A number of techniques and methods have been devised as a decision support tool in this domain. In this paper, the initial model of portfolio optimization has been enhanced by using computer simulation. It was used in the model to generate random rates of return from the bivariate normal distribution. It was assumed that its parameters are established on the basis of empirical data and estimates of the expected rates of return for securities. In this model, the efficient solution set, from which an optimum portfolio is derived, is obtained by finding extrema of the function by means of the Lagrange method.","1330-1012","978-953-7138-12-7","10.1109/ITI.2008.4588407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4588407","Portfolio optimization;rate of return;computer simulation;bivariate normal distribution;random numbers generating","Portfolios;Security;Random variables;Standards;Gaussian distribution;Computational modeling;Optimization","","","","10","","5 Aug 2008","","","IEEE","IEEE Conferences"
"Optimizing portfolio tail measures: Asymptotics and efficient simulation optimization","S. Juneja","Tata Institute of Fundamental Research, Mumbai, India","2008 Winter Simulation Conference","30 Dec 2008","2008","","","621","628","We consider a portfolio allocation problem where the objective function is a tail event such as probability of large portfolio losses. The dependence between assets is captured through multi-factor linear model. We address this optimization problem using two broad approaches. We show that a suitably scaled asymptotic of the probability of large losses can be developed that is a simple convex function of the allocated resources. Thus, asymptotically, portfolio allocation problem is approximated by a convex programming problem whose solution is easily computed and provides significant managerial insight. We then solve the original problem using sample average simulation optimization. Since rare events are involved, naive simulation may perform poorly. To remedy this, we introduce change-of-variable based importance sampling technique and develop a single change of measure that asymptotically optimally estimates tail probabilities across the entire space of feasible allocations.","1558-4305","978-1-4244-2707-9","10.1109/WSC.2008.4736122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4736122","","Portfolios;Tail;Monte Carlo methods;Loss measurement;Resource management;Optimization methods;Random variables;Discrete event simulation;Computational modeling;Decision making","","","","9","IEEE","30 Dec 2008","","","IEEE","IEEE Conferences"
"Loan portfolio optimization using Genetic Algorithm: A case of credit constraints","N. Metawa; M. Elhoseny; M. K. Hassan; A. E. Hassanien","College of Business Administration, University of New Orleans, USA; Faculty of Computers and Information, Mansoura University, Egypt; Faculty of Computers and Information, Cairo University, Egypt; The Scientific Research group, Egypt","2016 12th International Computer Engineering Conference (ICENCO)","16 Feb 2017","2016","","","59","64","With the increasing impact of capital regulation on banks financial decisions especially in competing environment with credit constraints, it comes the urge to set an optimal mechanism of bank lending decisions that will maximize the bank profit in a timely manner. In this context, we propose a self-organizing method for dynamically organizing bank lending decision using Genetic Algorithm (GA). Our proposed GA based model provides a framework to optimize bank objective when constructing the loan portfolio, which maximize the bank profit and minimize the probability of bank default in a search for an optimal, dynamic lending decision. Multiple factors related to loan characteristics, creditor ratings are integrated to GA chromosomes and validation is performed to ensure the optimal decision. GA uses random search to suggest the best appropriate design. We use this algorithm in order to obtain the most efficient lending decision. The reason for choosing GA is its convergence and its flexibility in solving multi-objective optimization problems such as credit assessment, portfolio optimization and bank lending decision.","","978-1-5090-2863-4","10.1109/ICENCO.2016.7856446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7856446","Bank Lending;Genetic Algorithm;Credit Constraints;Bank Profit","Economic indicators;Electric shock;Biological cells","","36","","13","IEEE","16 Feb 2017","","","IEEE","IEEE Conferences"
