"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Carrascal G.; Hernamperez P.; Botella G.; Barrio A.D.","Carrascal, Gines (57211681024); Hernamperez, Paula (58752116800); Botella, Guillermo (16174458100); Barrio, Alberto Del (58523328200)","57211681024; 58752116800; 16174458100; 58523328200","Backtesting Quantum Computing Algorithms for Portfolio Optimization","2024","IEEE Transactions on Quantum Engineering","5","","3100220","1","20","19","0","10.1109/TQE.2023.3337328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179037821&doi=10.1109%2fTQE.2023.3337328&partnerID=40&md5=cb111d79a9ed1e6c6ccd5090f79fc71b","In portfolio theory, the investment portfolio optimization problem is one of those problems whose complexity grows exponentially with the number of assets. By backtesting classical and quantum computing algorithms, we can get a sense of how these algorithms might perform in the real world. This work establishes a methodology for backtesting classical and quantum algorithms in equivalent conditions, and uses it to explore four quantum and three classical computing algorithms for portfolio optimization and compares the results. Running 10 000 experiments on equivalent conditions we find that quantum can match or slightly outperform classical results, showing a better escalability trend. To the best of our knowledge, this is the first work that performs a systematic backtesting comparison of classical and quantum portfolio optimization algorithms. In this work, we also analyze in more detail the variational quantum eigensolver algorithm, applied to solve the portfolio optimization problem, running on simulators and real quantum computers from IBM. The benefits and drawbacks of backtesting are discussed, as well as some of the challenges involved in using real quantum computers of more than 100 qubits. Results show quantum algorithms can be competitive with classical ones, with the advantage of being able to handle a large number of assets in a reasonable time on a future larger quantum computer.  © 2020 IEEE.","Backtesting; conditional value at risk variational quantum eigensolver (CVaR VQE); portfolio optimization; quantum computing (QC); variational quantum eigensolver (VQE)","Financial data processing; Financial markets; Investments; Market Research; Quantum computers; Quantum optics; Backtesting; Computational modelling; CVaR VQE; Market researches; Optimisations; Portfolio; Portfolio optimization; Quantum algorithms; Quantum Computing; VQE; Optimization","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85179037821"
"Al Janabi M.A.M.","Al Janabi, Mazin A.M. (24463149200)","24463149200","Optimization algorithms and investment portfolio analytics with machine learning techniques under time-varying liquidity constraints","2022","Journal of Modelling in Management","17","3","","864","895","31","12","10.1108/JM2-10-2020-0259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106274228&doi=10.1108%2fJM2-10-2020-0259&partnerID=40&md5=c7ec1f152c449472ec17fb54dc8a2586","Purpose: This paper aims to examine from commodity portfolio managers’ perspective the performance of liquidity adjusted risk modeling in assessing the market risk parameters of a large commodity portfolio and in obtaining efficient and coherent portfolios under different market circumstances. Design/methodology/approach: The implemented market risk modeling algorithm and investment portfolio analytics using reinforcement machine learning techniques can simultaneously handle risk-return characteristics of commodity investments under regular and crisis market settings besides considering the particular effects of the time-varying liquidity constraints of the multiple-asset commodity portfolios. Findings: In particular, the paper implements a robust machine learning method to commodity optimal portfolio selection and within a liquidity-adjusted value-at-risk (LVaR) framework. In addition, the paper explains how the adapted LVaR modeling algorithms can be used by a commodity trading unit in a dynamic asset allocation framework for estimating risk exposure, assessing risk reduction alternates and creating efficient and coherent market portfolios. Originality/value: The optimization parameters subject to meaningful operational and financial constraints, investment portfolio analytics and empirical results can have important practical uses and applications for commodity portfolio managers particularly in the wake of the 2007–2009 global financial crisis. In addition, the recommended reinforcement machine learning optimization algorithms can aid in solving some real-world dilemmas under stressed and adverse market conditions (e.g. illiquidity, switching in correlations factors signs, nonlinear and non-normal distribution of assets’ returns) and can have key applications in machine learning, expert systems, smart financial functions, internet of things (IoT) and financial technology (FinTech) in big data ecosystems. © 2021, Emerald Publishing Limited.","Analytics; Artificial intelligence; Business analysis; Commodity; Finance; Liquidity risk; Liquidity-adjusted value-at-risk; Machine learning; Optimization; Portfolio analysis; Portfolio management; Risk analysis; Stress testing","","Article","Final","","Scopus","2-s2.0-85106274228"
"Shahid M.; Shamim M.; Ashraf Z.; Ansari M.S.","Shahid, Mohammad (57210532502); Shamim, Mohd (57846025300); Ashraf, Zubair (56352572000); Ansari, Mohd Shamim (57351938800)","57210532502; 57846025300; 56352572000; 57351938800","A novel evolutionary optimization algorithm based solution approach for portfolio selection problem","2022","IAES International Journal of Artificial Intelligence","11","3","","843","850","7","8","10.11591/ijai.v11.i3.pp843-850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132399848&doi=10.11591%2fijai.v11.i3.pp843-850&partnerID=40&md5=b29332a6291c41f0e59213ff109f2b20","The portfolio selection problem is one of the most common problems which drawn the attention of experts of the field in recent decades. The mean variance portfolio optimization aims to minimize variance (risk) and maximize the expected return. In case of linear constraints, the problem can be solved by variants of Markowitz. But many constraints such as cardinality, and transaction cost, make the problem so vital that conventional techniques are not good enough in giving efficient solutions. Stochastic fractal search (SFS) is a strong population based meta-heuristic approach that has derived from evolutionary computation (EC). In this paper, a novel portfolio selection model using SFS based optimization approach has been proposed to maximize Sharpe ratio. SFS is an evolutionary approach. This algorithm models the natural growth process using fractal theory. Performance evaluation has been conducted to determine the effectiveness of the model by making comparison with other state of art models such as genetic algorithm (GA) and simulated annealing (SA) on same objective and environment. The real datasets of the Bombay stock exchange (BSE) Sensex of Indian stock exchange have been taken in the study. Study reveals the superior performance of the SFS than GA and SA. © 2022, Institute of Advanced Engineering and Science. All rights reserved.","Evolutionary algorithm; Portfolio optimization; Portfolio selection; Sharpe ratio; Stochastic fractal search","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85132399848"
"Kobayashi K.; Takano Y.; Nakata K.","Kobayashi, Ken (57195236365); Takano, Yuichi (15073427700); Nakata, Kazuhide (55165964200)","57195236365; 15073427700; 55165964200","Bilevel cutting-plane algorithm for cardinality-constrained mean-CVaR portfolio optimization","2021","Journal of Global Optimization","81","2","","493","528","35","9","10.1007/s10898-021-01048-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109778732&doi=10.1007%2fs10898-021-01048-5&partnerID=40&md5=303de3f88b332697d8d0982a813268c7","This paper studies mean-risk portfolio optimization models using the conditional value-at-risk (CVaR) as a risk measure. We also employ a cardinality constraint for limiting the number of invested assets. Solving such a cardinality-constrained mean-CVaR model is computationally challenging for two main reasons. First, this model is formulated as a mixed-integer optimization (MIO) problem because of the cardinality constraint, so solving it exactly is very hard when the number of investable assets is large. Second, the problem size depends on the number of asset return scenarios, and the computational efficiency decreases when the number of scenarios is large. To overcome these challenges, we propose a high-performance algorithm named the bilevel cutting-plane algorithm for exactly solving the cardinality-constrained mean-CVaR portfolio optimization problem. We begin by reformulating the problem as a bilevel optimization problem and then develop a cutting-plane algorithm for solving the upper-level problem. To speed up computations for cut generation, we apply to the lower-level problem another cutting-plane algorithm for efficiently minimizing CVaR with a large number of scenarios. Moreover, we prove the convergence properties of our bilevel cutting-plane algorithm. Numerical experiments demonstrate that, compared with other MIO approaches, our algorithm can provide optimal solutions to large problem instances faster. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Cardinality constraint; Conditional value-at-risk; Cutting-plane algorithm; Mixed-integer optimization; Portfolio optimization","Computational efficiency; Financial data processing; Integer programming; Risk assessment; Value engineering; Bilevel optimization problems; Cardinality constraints; Conditional Value-at-Risk; Convergence properties; Cutting plane algorithms; High performance algorithms; Mixed integer optimization; Portfolio optimization models; Constrained optimization","Article","Final","","Scopus","2-s2.0-85109778732"
"Zhao H.; Jiang Y.; Yang Y.","Zhao, Hongxin (57260193500); Jiang, Yilun (58776280600); Yang, Yizhou (58777450000)","57260193500; 58776280600; 58777450000","Robust and Sparse Portfolio: Optimization Models and Algorithms","2023","Mathematics","11","24","4925","","","","0","10.3390/math11244925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180511485&doi=10.3390%2fmath11244925&partnerID=40&md5=1b08e2e114d5bd9c32a3e5f66271d3ac","The robust and sparse portfolio selection problem is one of the most-popular and -frequently studied problems in the optimization and financial literature. By considering the uncertainty of the parameters, the goal is to construct a sparse portfolio with low volatility and decent returns, subject to other investment constraints. In this paper, we propose a new portfolio selection model, which considers the perturbation in the asset return matrix and the parameter uncertainty in the expected asset return. We define three types of stationary points of the penalty problem: the Karush–Kuhn–Tucker point, the strong Karush–Kuhn–Tucker point, and the partial minimizer. We analyze the relationship between these stationary points and the local/global minimizer of the penalty model under mild conditions. We design a penalty alternating-direction method to obtain the solutions. Compared with several existing portfolio models on seven real-world datasets, extensive numerical experiments demonstrate the robustness and effectiveness of our model in generating lower volatility. © 2023 by the authors.","penalty-alternating-direction method; portfolio optimization; robustness; sparsity; uncertainty set","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180511485"
"Biondo A.E.; Mazzarino L.; Rossello D.","Biondo, Alessio Emanuele (36508566400); Mazzarino, Laura (57869425500); Rossello, Damiano (6504647600)","36508566400; 57869425500; 6504647600","Portfolio Optimization and Trading Strategies: a simulation approach","2022","CEUR Workshop Proceedings","3182","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137121977&partnerID=40&md5=09e4018ae89b8e2c80553a2395d1221b","This paper describes a community of investors forming their expectations with heterogeneous strategies in order to optimize their portfolios by means of a Sharpe ratio maximization. Traders are distinguished according to their methodology used in forecasting. Twelve acknowledged algorithms of technical analysis have been implemented to compare portfolios performances and assess profitability of each technique. © 2021 Copyright for this paper by its authors.","Financial markets; Portfolio performance; Sharpe ratio; Simulations","Commerce; Electronic trading; Investments; Heterogeneous strategy; Optimization strategy; Performance; Portfolio optimization; Portfolio performance; Sharpe ratios; Simulation; Simulation approach; Technical analysis; Trading strategies; Financial markets","Conference paper","Final","","Scopus","2-s2.0-85137121977"
"Yang Z.-P.; Zhao Y.","Yang, Zhen-Ping (57205226730); Zhao, Yong (55800182300)","57205226730; 55800182300","Hybrid SGD algorithms to solve stochastic composite optimization problems with application in sparse portfolio selection problems","2024","Journal of Computational and Applied Mathematics","436","","115425","","","","0","10.1016/j.cam.2023.115425","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164226808&doi=10.1016%2fj.cam.2023.115425&partnerID=40&md5=e142d57639425a86bef555d64270ad76","In this paper, we study stochastic composite problems where the objective can be the composition of an outer single-valued function and an inner vector-valued mapping. In this stochastic composite optimization, the inner mapping can be expressed as an expectation over random component mappings. In this study, we propose two algorithms to address the generality and possible singularities of this problem and bound their sample complexities for finding an ϵ-stationary point. The first algorithm is the prox-linear hybrid stochastic gradient algorithm, which may achieve sample complexities of O(ϵ2τ−5/2) and O(ϵτ−3/2) for the component mappings and their Jacobians respectively, where τ∈[0,1]. The second algorithm is the normalized proximal hybrid stochastic gradient algorithm, which takes advantage of the special structure of the regularizer. This algorithm may achieve sample complexities of O(ϵ2τ−4) for both the component mappings and the Jacobians, where τ∈[5/4,7/4]. Numerical experiments prove that the two proposed algorithms are quite competitive with other existing algorithms. A real-life application in sparse portfolio selection problems is also promising. © 2023 Elsevier B.V.","Complexity; Hybrid stochastic estimator; Normalized proximal gradient algorithm; Prox-linear algorithm; Stochastic nonsmooth composite optimization","Stochastic systems; Complexity; Composite optimization; Gradient algorithm; Hybrid stochastic estimator; Linear algorithms; Normalized proximal gradient algorithm; Prox-linear algorithm; Stochastic estimators; Stochastic nonsmooth composite optimization; Stochastics; Mapping","Article","Final","","Scopus","2-s2.0-85164226808"
"Ni B.; Wang Y.; Huang J.; Li G.","Ni, Baixiu (57219706328); Wang, Ying (58397701600); Huang, Jingfu (57225095862); Li, Guocheng (56163691800)","57219706328; 58397701600; 57225095862; 56163691800","Hybrid Enhanced Binary Honey Badger Algorithm with Quadratic Programming for Cardinality Constrained Portfolio Optimization","2022","International Journal of Foundations of Computer Science","33","6-7","","787","803","16","0","10.1142/S0129054122420151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138027095&doi=10.1142%2fS0129054122420151&partnerID=40&md5=baebf40c01c4fdd813c64059924298e9","A portfolio selection problem with cardinality constraints has been proved to be an NP-hard problem, and it is difficult to solve by the traditional optimization methods. This study considers it to be a hybrid of a classical feature selection problem and a standard mean-variance (MV) portfolio selection model. In particular, we propose a new hybrid meta-heuristic algorithm that combines an enhanced binary honey badger algorithm (EBHBA) with quadratic programming to address this issue. First, we employ the proposed EBHBA algorithm to select a portfolio of K stocks from N candidate stocks. Second, based on its choice we transform the problem into a mean-variance model, whose objective function could be defined as the fitness function of EBHBA. Finally, the optimal solution to the model could be found with the quadratic programming method. We also test our approach using the benchmark data sets available at the OR-Library involving real capital markets, where indices are derived from major stock markets around the world. Computational results demonstrate that the proposed method can achieve a satisfactory result for portfolio selection with cardinality constraints and perform well in searching non-dominated portfolios with high expected returns. © 2022 World Scientific Publishing Company.","binary honey badger algorithm; cardinality constrained portfolio selection; Metaheuristics; portfolio optimization; quadratic programming","","Article","Final","","Scopus","2-s2.0-85138027095"
"Zheng X.; Zhang C.; Zhang B.","Zheng, Xuanyu (57212537053); Zhang, Changsheng (55704015300); Zhang, Bin (57803830500)","57212537053; 55704015300; 57803830500","A Mayfly algorithm for cardinality constrained portfolio optimization","2023","Expert Systems with Applications","230","","120656","","","","0","10.1016/j.eswa.2023.120656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161310900&doi=10.1016%2fj.eswa.2023.120656&partnerID=40&md5=5604ed3fb7ab848896e5dbf0d233143b","Portfolio optimization is an essential issue in quantitative investing, which aims to find the best set of portfolios by allocating the proportion of assets. One of the most widely studied portfolio optimization models is the cardinality constrained mean–variance model, which incorporates real-world constraints on the number of selected assets and lower and upper bounds on the proportion of each asset. This paper presents a novel metaheuristic algorithm based on the Mayfly algorithm to solve the cardinality constrained mean–variance portfolio optimization problem. To better adapt to this problem, we design and introduce some new features to the proposed algorithm, including (1) a new cardinality constraint handling strategy; (2) a new local search strategy; and (3) changes to the crossover operator. We have designed comparison experiments for the proposed metaheuristic and evaluated its performance using five commonly used performance metrics. The experimental results show that the proposed approach achieves competitive performance on datasets of different sizes. The results also demonstrate the feasibility of this approach in solving the cardinality constrained mean–variance portfolio optimization problem. © 2023 Elsevier Ltd","Cardinality constraint; Mayfly algorithm; Portfolio optimization; Swarm intelligence algorithm","Constraint handling; Financial data processing; Swarm intelligence; Cardinalities; Cardinality constraints; Constrained portfolios; Mayfly algorithm; Mean variance model; Mean-variance portfolio optimization; Optimization problems; Portfolio optimization; Portfolio optimization models; Swarm intelligence algorithms; Constrained optimization","Article","Final","","Scopus","2-s2.0-85161310900"
"Salman O.; Kampouridis M.; Jarchi D.","Salman, Ozgur (57904994800); Kampouridis, Michael (36637516700); Jarchi, Delaram (24472521000)","57904994800; 36637516700; 24472521000","Trading Strategies Optimization by Genetic Algorithm under the Directional Changes Paradigm","2022","2022 IEEE Congress on Evolutionary Computation, CEC 2022 - Conference Proceedings","","","","","","","1","10.1109/CEC55065.2022.9870270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138678479&doi=10.1109%2fCEC55065.2022.9870270&partnerID=40&md5=43937ef4b79e8410c6f32f3c9c5a4df4","The subject of financial forecasting has been re-searched for decades, and the driver behind its measured data has been fuelled by the selection of physical time series, which summarize data using fixed time intervals. For instance, time-series for daily stock data would be profiled at 252 points in one year. However, this episodic style neglects the important events, or price changes that occur between two intervals. Thus, we use Directional Changes (DC) as an event-based series, which is an alternative way to record price movements. In DC, unlike time-series methods, time intervals are constituted by price changes. The unique feature that decides the price change to be considered as a significant is called a threshold θ. The objective of our paper is to create DC-based trading strategies, and then optimize them using a Genetic Algorithm (GA). To construct such strategies, we use DC-based indicators and scaling laws that have been empirically identified under DC summaries. We first propose four novel DC-based trading strategies and then combine them with existing DC-based strategies and finally optimize them via the GA. We conduct trading experiments over 44 stocks. Results show that the GA-optimized strategies are able to generate new and profitable trading strategies, significantly outperforming the individual DC-based strategies, as well as a buy and sell benchmark.  © 2022 IEEE.","directional changes; financial forecasting; genetic algorithm; machine learning; trading strategies","Commerce; Electronic trading; Machine learning; Time series; Directional changes; Financial forecasting; Fixed time interval; Machine-learning; Physical time; Price changes; Stock data; Strategy optimization; Times series; Trading strategies; Genetic algorithms","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85138678479"
