Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Use Cases of Quantum Optimization for Finance,"Credible Asset Allocation, Optimal Transport Methods, and Related Topics",,,,10.1007/978-3-030-97273-8_15,Samuel MugelEnrique LizasoRomán Orús,2022,http://link.springer.com/chapter/10.1007/978-3-030-97273-8_15,Chapter
Quantum beetle antennae search: a novel technique for the constrained portfolio optimization problem,Science China Information Sciences,,64,5,10.1007/s11432-020-2894-9,Ameer Tamoor KhanXinwei CaoShuai LiBin HuVasilios N. Katsikis,2021,http://link.springer.com/article/10.1007/s11432-020-2894-9,Article
Portfolio Optimization Based on Quantum HHL Algorithm,Artificial Intelligence and Security,,,,10.1007/978-3-031-06788-4_8,Qinghai LiHao WuWeizhong QianXiaoyu LiQinsheng ZhuShan Yang,2022,http://link.springer.com/chapter/10.1007/978-3-031-06788-4_8,Chapter
"Best practices for portfolio optimization by quantum computing, experimented on real quantum devices",Scientific Reports,,13,1,10.1038/s41598-023-45392-w,Giuseppe BuonaiutoFrancesco GargiuloGiuseppe De PietroMassimo EspositoMarco Pota,2023,http://link.springer.com/article/10.1038/s41598-023-45392-w,Article
Reverse quantum annealing approach to portfolio optimization problems,Quantum Machine Intelligence,,1,1 - 2,10.1007/s42484-019-00001-w,Davide VenturelliAlexei Kondratyev,2019,http://link.springer.com/article/10.1007/s42484-019-00001-w,Article
A quantum online portfolio optimization algorithm,Quantum Information Processing,,23,3,10.1007/s11128-024-04256-6,Debbie LimPatrick Rebentrost,2024,http://link.springer.com/article/10.1007/s11128-024-04256-6,Article
Portfolio Optimization Using Quantum-Inspired Modified Genetic Algorithm,Business Intelligence and Information Technology,,,,10.1007/978-981-99-3416-4_53,Abhishek GunjanSiddhartha BhattacharyyaAboul Ella Hassanien,2023,http://link.springer.com/chapter/10.1007/978-981-99-3416-4_53,Chapter
Quantum computing for finance,Nature Reviews Physics,,5,8,10.1038/s42254-023-00603-1,Dylan HermanCody GooginXiaoyuan LiuYue SunAlexey GaldaIlya SafroMarco PistoiaYuri Alexeev,2023,http://link.springer.com/article/10.1038/s42254-023-00603-1,Article
A constrained multi-period portfolio optimization model based on quantum-inspired optimization,Multimedia Tools and Applications,,,,10.1007/s11042-024-18597-y,Kumar RamaiahP. Beaulah Soundarabai,2024,http://link.springer.com/article/10.1007/s11042-024-18597-y,Article
An Empirical Study on the Use of Quantum Computing for Financial Portfolio Optimization,SN Computer Science,,3,5,10.1007/s42979-022-01215-9,Cláudio GomesGabriel FalcaoLuís PaqueteJoão Paulo Fernandes,2022,http://link.springer.com/article/10.1007/s42979-022-01215-9,Article
"Financial Econometrics: Bayesian Analysis, Quantum Uncertainty, and Related Topics","Studies in Systems, Decision and Control",,,,10.1007/978-3-030-98689-6,Prof. Nguyen Ngoc ThachVladik KreinovichProf. Doan Thanh HaProf. Nguyen Duc Trung,2022,http://link.springer.com/book/10.1007/978-3-030-98689-6,Book
Quantum Decision Theory and Complexity Modelling in Economics and Public Policy,New Economic Windows,,,,10.1007/978-3-031-38833-0,Anirban ChakrabortiEmmanuel HavenSudip PatraNaresh Singh,2023,http://link.springer.com/book/10.1007/978-3-031-38833-0,Book
Quantum Finance,Quantum Computing Environments,,,,10.1007/978-3-030-89746-8_5,Do Ngoc Diep,2022,http://link.springer.com/chapter/10.1007/978-3-030-89746-8_5,Chapter
Portfolio Optimisation Using the D-Wave Quantum Annealer,Computational Science – ICCS 2021,,,,10.1007/978-3-030-77980-1_4,Frank PhillipsonHarshil Singh Bhatia,2021,http://link.springer.com/chapter/10.1007/978-3-030-77980-1_4,Chapter
A Survey on Quantum Computational Finance for Derivatives Pricing and VaR,Archives of Computational Methods in Engineering,,29,6,10.1007/s11831-022-09732-9,Andrés GómezÁlvaro LeitaoAlberto ManzanoDaniele MussoMaría R. NogueirasGustavo OrdóñezCarlos Vázquez,2022,http://link.springer.com/article/10.1007/s11831-022-09732-9,Article
